勘定科目,分類,説明
受取地代,収益,貸している土地の使用料や利用料。
受取手数料,収益,何かしてあげたときに受け取る料金。
受取利息,収益,銀行に預けている預金につく利息や、貸したお金に対する利息。
売上,収益,商品を売ったときの代金。
売掛金,資産,商品を売ったときに、後で回収する代金。
買掛金,負債,
貸倒損失,費用,
貸倒引当金繰入,費用,
貸付金,資産,
借入金,負債,
仮受金,負債,
仮払金,資産,
給料,費用,
繰越商品,資産,
減価償却費,費用,
現金,資産,いわゆるお金。紙幣、硬貨に加えて、小切手も現金として扱う。
広告料,費用,
交通費,費用,
小口現金,資産,
雑費,費用,
仕入,費用,
支払地代,費用,
支払手数料,費用,
支払家賃,費用,
支払利息,費用,
資本金,資本,
車両運搬具,資産,
従業員預り金,負債,
従業員立替金,資産,
消耗品費,費用,
所得税預り金,負債,
水道光熱費,費用,
建物,資産,
通信費,費用,
定期預金,資産,銀行に預けているお金。預ける期間が過ぎるまでは、自由に引き出すことができない。
当座預金,資産,銀行に預けているお金。この預金から支払う時は、小切手に金額を書いて相手に渡す。預金に対して利息はつかない。
土地,資産,
発送費,費用,
備品,資産,
普通預金,資産,銀行に預けているお金。個人で作る預金は、だいたいこの預金。預金に対して利息がつく。
保険料,費用,
前受金,負債,
前払金,資産,
未収金,資産,
未収入金,資産,
未払金,負債,
旅費,費用,
