分野,用語,説明
ハードウェア,ＯＣＲ,手書きや印刷された文字を光学的に読み取る装置。
ハードウェア,ＯＭＲ,マークシートに記入されたマークを光学的に読み取る装置。
ハードウェア,磁気ディスク装置,磁性体を塗った薄いディスクを、高速回転させてデータを読み書きする装置。
ハードウェア,磁気ヘッド,磁気ディスク装置において、ディスク上のデータの読み書きを直接行う部分。
ハードウェア,アクセスアーム,磁気ディスク装置において、磁気ヘッドをデータの読み書きする位置に移動させる部品。
ハードウェア,シリンダ,磁気ディスク装置において、同心円状の複数のトラックが、論理的な円筒状になっている記録単位。
ハードウェア,トラック,磁気ディスク装置などの記録面で、同心円状の１周分の記録場所。
ハードウェア,セクタ,磁気ディスク装置などの記録面で、データの読み書きをする最小の単位。
ハードウェア,ＵＰＳ,コンピュータシステムへの電源供給が止まった際、一定の時間、電源を供給する装置。
ソフトウェア,ドット,文字や画像を構成する、色情報を持たない小さな点。
ソフトウェア,ピクセル,色情報（色調や階調）を持つディジタル画像を構成する最小単位の点。
ソフトウェア,解像度,ディスプレイの表示能力やプリンタの印刷能力などのきめ細やかさや画質の滑らかさを表す尺度。
ソフトウェア,ｄｐｉ,１インチ当たりに何個のドットを表現できるかを表す単位。
ソフトウェア,ｐｐｉ,１インチ当たりに何個のピクセル（画素）を表現できるかを表す単位。
ソフトウェア,ＲＧＢ,光の三原色のことで、ディスプレイなどは３色の光を組み合わせて表現している。
ソフトウェア,ＣＭＹＫ,色の三原色に黒を加えたもので、カラー印刷の際に用いられる。
ソフトウェア,圧縮,データの意味を保ったまま、データ容量を小さく変換すること。
ソフトウェア,解凍,圧縮されたデータを元の状態に戻すこと。
ソフトウェア,アーカイバ,複数のファイルを１つにまとめたり、元に戻したりするソフトウェア。
ソフトウェア,プラグアンドプレイ,コンピュータに周辺機器などを接続した際、ＯＳが最適な設定を自動的に行う機能。
ディレクトリとファイル,ルートディレクトリ,階層型の記憶管理システムにおいて、最上位に位置するディレクトリ。
ディレクトリとファイル,サブディレクトリ,ファイルの階層段階で管理する場合、最上位ディレクトリの下位に作成されるディレクトリ。
ディレクトリとファイル,拡張子,ファイルの種類を識別する目的で使われる、ファイル名の最後につける文字列。
ディレクトリとファイル,テキストファイル,あらゆる機種のパソコンで利用できる、文字データのみで構成されたファイル。
ディレクトリとファイル,バイナリファイル,文字として読みだすことのできない２進数形式のファイル。
ディレクトリとファイル,ファイル形式,ファイルにデータを記録するための方式やルール。アプリケーションやＯＳによって作成するファイル内の表現方法や構造が異なる。
ディレクトリとファイル,ＢＭＰ,静止画像を点の集まりとして、圧縮せずに記録するファイル形式。
