分野,用語,説明
ハードウェア,集積回路,半導体基板の上に、複数の電子部品を組み込んだ電子回路。
ハードウェア,ＲＯＭ,電源を切っても記憶内容が消えない、読み取り専用のメモリ。
ハードウェア,ＲＡＭ,電源を切ると記憶内容が消える、書き込みと読み取りが可能なメモリ。
ハードウェア,ＣＰＵ,プログラムを解読して計算処理などを行ない、各装置を制御するコンピュータの中心部分。
ハードウェア,制御装置,コンピュータにおける五大装置の中で、記憶装置の命令を取り出して解読し、各装置に指示を与える装置。
ハードウェア,演算装置,コンピュータにおける五大装置の中で、データの四則計算や比較判断を行う装置。
ハードウェア,記憶装置,コンピュータにおける五大装置の中で、プログラムやデータをためておく装置。
ハードウェア,主記憶装置,コンピュータ本体に組み込まれ、ＣＰＵから直接データを読み書きできる装置。メモリ。
ハードウェア,補助記憶装置,ＣＰＵから直接データを読み書きできない記憶装置。電源を切っても記憶内容は消えない。
ハードウェア,ハードディスク,複数の金属製の円盤を回転させ、磁気を利用してデータの読み書きを行なう補助記憶装置。
ハードウェア,ＳＳＤ,大容量の半導体メモリを用いた補助記憶装置。ハードディスクに比べ、省電力、衝撃耐久性、起動速度などに優れている。
ハードウェア,ＤＶＤ装置,光ディスクに、赤色レーザ光線を用いて約4.7GB読み書きできる記憶媒体。映像の記録などに用いる。
ハードウェア,ブルーレイディスク,光ディスクに、青紫色レーザ光線を用いて約25GB読み書きできる記憶媒体。高画質の映像を記録できる。
ハードウェア,フラッシュメモリ,電源を切っても記憶内容が消えない不揮発性の半導体を用いて読み書きする補助記憶装置。
ハードウェア,入力装置,コンピュータにおける五大装置の中で、プログラムやデータを主記憶装置に読み込む装置。
ハードウェア,タッチパネル,ディスプレイ上のマークやボタンを指やペンで触れることによりデータを入力する装置。
ハードウェア,イメージスキャナ,写真や絵、印刷物などを光学的に読み取り、デジタルデータとして入力する装置。
ハードウェア,バーコードリーダ,白と黒の縞模様状のものを読み取る装置。
ハードウェア,出力装置,コンピュータにおける五大装置の中で、データの処理結果を表示したり、印字したりする装置。
ハードウェア,ＣＤ装置,光ディスク装置の一種。容量は約７００ＭＢ。
ハードウェア,インクジェットプリンタ,細かな液状のインクを用紙に吹き付けて印字する出力装置。
ハードウェア,レーザプリンタ,印字データをレーザ校により感光ドラムにあて、トナーを付着させてから用紙に転写する出力装置。
ハードウェア,プロジェクタ,画像や映像をスクリーンに投影して表示する装置。
ハードウェア,インタフェース,コンピュータ本体と情報機器を接続して、データをやり取りするための規格。
ハードウェア,ＵＳＢ,一つの受け口で最大127台までの情報機器を接続できるインタフェース規格。
ハードウェア,ＨＤＭＩ,デジタル家電やＡＶ機器で使われる映像や音声の入出力用のインタフェース規格。
ハードウェア,Bluetooth,電波を使って、数mから数十m程度の近距離間でデータ通信に利用されるインタフェース規格。
ソフトウェア等,ＯＳ,ハードウェアとアプリケーションソフトウェアの間で動作し、それぞれを管理、制御するソフトウェア。
ソフトウェア等,アプリケーションソフトウェア,表計算ソフトなどのように、特定の目的に利用するためのソフトウェア。
ソフトウェア等,インストール,アプリケーションソフトをコンピュータに導入する作業のこと。セットアップともいう。
ソフトウェア等,アンインストール,コンピュータに入っているアプリケーションソフトを削除し、使用不可能な状態にすること。
ソフトウェア等,アップデート,ソフトウェアを最新の状態に更新すること。
ソフトウェア等,ＧＵＩ,コンピュータの操作を、ボタンやアイコンを選択することで直感的に簡単に行えるようにした操作環境。
ソフトウェア等,アイコン,コンピュータを直感的に操作できるようにしたディスプレイ上の小さな絵文字。
ソフトウェア等,カーソル,画面上でデータの入力一夜操作位置を示すしるし。
ソフトウェア等,スクロール,画面上に表示しきれないおじや画像を見るために、表示範囲を移動させる操作。
関連知識,２進数,数値を０と１の2種類の数字のみを用いて表現したもの。
関連知識,ビット,２進数の１桁で表される情報の最小単位。
関連知識,バイト,２進数８桁で表される情報の基本単位。
関連知識,ミリセカンド(ms),"処理速度の単位で、1,000分の1秒。"
関連知識,マイクロセカンド(μs),"処理速度の単位で、1,000,000分の1秒。"
関連知識,ナノセカンド(ns),"処理速度の単位で、1,000,000,000分の1秒を表す時間の単位。"
関連知識,ピコセカンド(ps),"処理速度の単位で、1,000,000,000,000分の1秒。"
関連知識,フェムトセカンド(fs),"処理速度の単位で、1,000,000,000,000,000分の1秒。"
関連知識,キロバイト(KB),"記憶容量の単位で、約1,000バイト。"
関連知識,メガバイト(MB),"記憶容量の単位で、約1,000,000バイト。"
関連知識,ギガバイト(GB),"記憶容量の単位で、約1,000,000,000バイト。"
関連知識,テラバイト(TB),"記憶容量の単位で、約1,000,000,000,000バイト。"
関連知識,ペタバイト(PB),"記憶容量の単位で、約1,000,000,000,000,000バイト。"
関連知識,フォーマット,初期化とも呼ばれ、記憶媒体を利用できるようにするための作業。
関連知識,ファイル名,データを記憶媒体に保存する際に付ける名前。
関連知識,フォルダ,記憶媒体でファイルを分類、整理するために作られる保管場所。
関連知識,バッチ処理,発生したデータを一定期間ためておき、一括して処理する方式。
関連知識,リアルタイム処理,発生するデータを即座に処理する方式。
関連知識,ＥＯＳ,企業間の取引において、オンラインで電子受発注業務を行うシステム。
関連知識,ＥＣ,インターネットを利用して、商品やサービスの取引を行なうしくみ。
関連知識,ＰＯＳシステム,販売店のレジで商品のバーコードを読み取ることで、売上情報を収集して記録するしくみ。
関連知識,ワイルドカード,ファイルを検索する際に、任意の文字列や１つの文字の代用として使うことのできる記号。
関連知識,バーコード,横方向に並んだ直線の太さや間隔などにより、データを表すもの。商品情報などに利用されている。
関連知識,ＪＡＮコード,日本工業規格に定められている、日本の共通商品コードとなっている。
関連知識,ＱＲコード,小さな正方形の点を縦横に並べ、どの方向からも正確に読み取れるコード。バーコードの数百倍の情報を記録できる。
関連知識,ＲＦＩＤ,無線通信によりＩＣタグからの情報を読み書きし、商品を管理する技術。
関連知識,非接触型ＩＣカード,内部に集積回路とアンテナを内蔵し、電波を利用してデータの読み書きができるカード。
関連知識,ＡＩ,人間の知能をコンピュータで実現するための技術。自律的に認識、学習、判断、推論を行う。
関連知識,ＩｏＴ,情報端末以外の電子機器や機械類をインターネットに接続して、情報をやり取りするしくみ。モノのインターネット。
通信ネットワーク,プロバイダ,インターネットへの接続サービスを提供する業者。
通信ネットワーク,ＨＴＭＬ,Webページを作成するための言語。タグを使い、文書構造や画像の表示、文字飾りなどを定義する。
通信ネットワーク,ブラウザ,インターネットでWebページを閲覧するためのソフトウェア。
通信ネットワーク,ＵＲＬ,インターネットにおいて、HTML文書や画像など、保存されているファイルの場所を示すアドレス。
通信ネットワーク,ドメイン名,ＵＲＬや電子メールアドレスの組織・団体などの所属を表す部分。
通信ネットワーク,ハイパーリンク,Webページ上の文字列や画像をクリックすると、目的のWebページへジャンプする機能。
通信ネットワーク,検索エンジン,インターネット上に公開されている情報を検索するために利用するシステム。
通信ネットワーク,Webサーバ,Webページの情報を蓄積しておき、ブラウザからの要求に応じて送信するコンピュータ。
通信ネットワーク,メールサーバ,電子メールの送信や受信の管理を行うコンピュータ。
通信ネットワーク,メーラ,電子メールを送受信するための専用のソフトウェア。
通信ネットワーク,Webメール,Webブラウザで利用することができる電子メールのこと。
通信ネットワーク,Ｔｏ,電子メールを送信する相手のメールアドレスを入力する欄。
通信ネットワーク,Ｃｃ,同じ内容のメールを他の人にも同時に送信したいときに、メールアドレスを入力する欄。
通信ネットワーク,Ｂｃｃ,電子メールを複数の相手に同時に送信する方法であり、他の受信者に通知されない。
通信ネットワーク,添付ファイル,電子メールの本文とともに送受信されるファイル。
通信ネットワーク,ファイルサーバ,複数の利用者が共有するファイルを保存しているコンピュータ。
通信ネットワーク,プリントサーバ,複数の利用者でプリンタを共有するために設置されたコンピュータ。
通信ネットワーク,オンラインストレージ,インターネット上に用意されたデータの保存場所。一つのファイルを複数の利用者で共有できる。
通信ネットワーク,アップロード,利用者のコンピュータにあるプログラム等を、ネットワーク上のコンピュータに転送して保存すること。
通信ネットワーク,ダウンロード,ネットワーク上のコンピュータにあるプログラム等を、利用者のコンピュータに転送して保存すること。
情報モラル,プライバシーの侵害,他人に知られたくない個人の情報を無断で公開し、本人に精神的苦痛を与えること。
情報モラル,フィルタリング,有害なWebサイトなどへのアクセスを規制すること。
情報モラル,有害サイト,青少年の健全な育成をさまたげる情報や、犯罪につながる情報を掲載しているWebサイト。
情報モラル,迷惑メール,相手の同意なしに一方的に送り付けて、受信者が不愉快な思いをするような電子メールの総称。
情報モラル,スパムメール,迷惑メールの一種で、不特定多数の受信者へ一方的に送られる、広告や勧誘を内容としたもの。
情報モラル,チェーンメール,迷惑メールのうち、受信者に受信内容を他の人へ送信するようにうながすメール。
情報モラル,ネット詐欺,インターネット上で、人をだまして金銭などを得ようとする犯罪行為。
情報モラル,フィッシング詐欺,本物のウェブサイトを装った偽のウェブサイトへのリンクを張ったメールを送りつけ、個人情報などを獲得する詐欺のこと。
情報モラル,ワンクリック詐欺,偽の電子メールやWebサイトから、クレジットカード番号や暗証番号などの個人情報を不正に入手する詐欺行為。
セキュリティ,認証,ネットワークに接続する際、ユーザIDとパスワードを入力することで、利用者が本人であることを確認すること。
セキュリティ,生体認証,人間の身体的な特徴から個人の識別を行なう認証システムのこと。
セキュリティ,ユーザID,ネットワークシステムにおいて、利用者本人を識別するための番号や文字列。
セキュリティ,パスワード,コンピュータシステムを利用する際、本人確認のためユーザIDとともに用いられる文字列。
セキュリティ,アクセス制限,ファイルやシステム等の利用を特定の人だけに制限したり、有害なサイトへのアクセスを制限したりすること。
セキュリティ,アクセス権,サーバなどの記憶装置に保存されたファイルやフォルダなどを利用するための権限。
セキュリティ,不正アクセス,他人のコンピュータに侵入してデータを改ざんしたり、盗み出したりすること。
セキュリティ,なりすまし,他人のユーザIDなどを不正に利用し、その人のふりをしてネットワーク上で活動すること。
セキュリティ,マルウェア,他人のコンピュータシステムに被害を与える目的で、悪意を持って作られたソフトウェアの総称。
セキュリティ,コンピュータウイルス,プログラムに組み込まれてコンピュータシステムに侵入し、不正な処理を行い、自分の複製を作って増殖するマルウェア。
セキュリティ,スパイウェア,利用者が気づかぬうちにコンピュータに侵入し、利用者に関する情報を収集して、外部へ送信するマルウェア。
セキュリティ,ワーム,侵入したコンピュータに自分の複製を大量に作成して、様々な不具合を起こすマルウェア。
セキュリティ,トロイの木馬,一見無害なソフトウェアを装って侵入し、特定のタイミングで外部からの遠隔操作によって不正な処理を行うマルウェア。
セキュリティ,ウイルス対策ソフトウェア,コンピュータウイルスを検出・消去するソフトウェア。
セキュリティ,ウイルス定義ファイル,コンピュータウイルスを検出する際に使うファイル。
セキュリティ,ワクチンプログラム,コンピュータウイルスの検出や駆除などを専門に行うソフトウェア。
アルゴリズム,順次,アルゴリズムの基本構造の一つで、流れ図では各処理が直線的につながり、上から下へ順に実行される。
アルゴリズム,選択,アルゴリズムの基本構造の一つで、流れ図では判断記号を用い、条件によって処理が分かれる。
アルゴリズム,繰り返し,アルゴリズムの基本構造の一つで、流れ図ではループ端記号を用い、指定した条件が満たされている間は処理を繰り返す。
アルゴリズム,回数判定,選択、繰り返し構造の条件で、ある処理を指定した回数分、実行しているか判断する。
アルゴリズム,条件判定,選択、繰り返し構造の条件で、ある値が指定した値かどうか判断する。
アルゴリズム,流れ図,アルゴリズムを図式化したもの。流れ図記号を用いて、原則、処理が上から下へと流れるように記述する。
アルゴリズム,トレース,流れ図に沿って処理を受け～下へ順にたどり、処理手順や変数の記憶内容などを確認する作業。
アルゴリズム,データの入出力,流れ図で、データを入力したり出力したりするときに記述する記号。
アルゴリズム,算術演算,数値を演算すること。加算、減算、乗算、除算などがある。
アルゴリズム,論理演算,真偽値を演算すること。AND演算、OR演算、NOT演算などがある。
アルゴリズム,表示・印字,流れ図で、データを画面に表示したりプリンタに印字したり、出力するときに記述する記号。
アルゴリズム,変数,プログラムでデータを記憶する場所のうち、記憶内容を自由に変化させることができる記憶場所。
